KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
144,32,0.0,12091,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true
145,32,0.015625,89442,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false
146,32,0.0,2534,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
147,32,0.015625,18155,true,false,false,false,false,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false
148,32,0.0,11249,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true
149,32,0.0,1328,true,false,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false
150,32,0.0,33545,true,true,true,true,true,true,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false
151,32,0.015625,2705,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
152,32,0.0,1723,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
153,32,0.0,41169,true,true,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false
154,32,0.0,32,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
155,32,0.015625,174995,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,true,false
156,32,0.0,32,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
157,32,0.03125,197576,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true
158,32,0.0,42,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true
159,32,0.0,10784,false,false,false,true,true,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false,true,false,true,false,true,false,false,false,false
160,32,0.03125,216411,false,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,false,true,true,false
161,32,0.03125,237643,true,true,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true
162,32,0.0,32,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
163,32,0.0,67,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
164,32,0.015625,184311,true,true,false,false,false,true,true,false,true,true,false,true,false,false,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,true,false,true
165,32,0.0,38325,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,false
166,32,0.015625,25253,false,false,true,true,false,false,true,false,true,false,true,false,false,true,false,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false
167,32,0.0,49215,false,false,false,false,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false
168,32,0.0,53,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
