KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
124,25,1.328125,16763665,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true
125,25,0.78125,9653161,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true
126,25,1.359375,16743337,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
127,25,0.109375,1217659,false,true,true,false,false,false,true,false,false,true,false,true,true,false,true,true,false,true,false,false,true,false,true,false,true
128,25,0.84375,10060939,false,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true
129,25,0.1875,2275827,true,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true
130,25,0.046875,384298,false,true,false,true,false,true,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false
131,25,1.5625,16749017,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true,true,true
132,25,1.390625,15663284,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true
133,25,0.15625,1129679,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,true,false,true,true,false,true,false
134,25,1.46875,10648934,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,false
135,25,1.484375,16777187,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
136,25,1.359375,16751752,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
137,25,1.03125,12908319,true,false,false,false,true,false,true,false,true,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true
138,25,0.0,440,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false
139,25,1.484375,16777096,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true
140,25,0.984375,12166775,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true
141,25,1.359375,16544306,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true
142,25,0.0,4,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
143,25,0.71875,7462544,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,true,false,false,false
144,25,0.796875,9708346,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true
145,25,1.296875,16604115,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true
146,25,0.015625,127329,false,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,true,false,false,false,true,false,false,false,true
147,25,0.5,5947076,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,false
148,25,1.359375,16772974,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true
149,25,1.328125,16777210,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
150,25,0.53125,5647352,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,true,true,true,false,true,true
151,25,1.3125,16775486,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false
152,25,1.390625,16574735,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true
153,25,0.0,60,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
154,25,1.265625,16648789,false,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
155,25,1.0,11871293,false,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,true,true,false,true,false,false,true,true,true
156,25,0.015625,129482,true,false,false,true,true,false,false,true,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false
157,25,1.21875,15611356,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true
158,25,0.265625,3182305,true,false,false,true,false,false,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false
159,25,1.390625,16730664,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false
160,25,1.25,15800526,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false
161,25,0.125,1594946,false,true,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false
162,25,0.1875,2068267,true,true,false,false,false,true,true,false,true,true,false,false,true,false,true,true,false,false,false,true,true,false,true,false,true
163,25,1.40625,16485213,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
164,25,0.0,71,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false
165,25,0.140625,1796136,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false
166,25,0.0,721,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true
167,25,0.046875,554131,true,true,true,true,false,false,true,false,true,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false
168,25,0.046875,641522,true,true,true,false,false,true,true,true,false,true,false,false,true,true,false,true,true,false,true,false,false,false,true,false,true
169,25,0.0,794,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,true,false
170,25,1.078125,12911559,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false
171,25,0.234375,2296651,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false,true,false,true
172,25,0.375,4127018,true,true,false,true,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,true,false
173,25,1.40625,16776392,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
174,25,1.4375,16772645,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
175,25,0.921875,10934111,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,true
176,25,1.296875,16389810,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
177,25,1.453125,16777216,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
178,25,1.375,16031817,true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
179,25,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
180,25,1.28125,14846481,true,false,true,true,true,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false
181,25,0.0,15,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
182,25,1.390625,16717692,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
183,25,1.0,11695977,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true
184,25,0.1875,2135282,true,false,true,false,true,false,true,false,false,false,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true
185,25,0.0,41,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true
186,25,1.359375,16777214,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
187,25,0.03125,306854,false,false,true,false,false,false,false,true,true,true,false,false,true,true,true,false,true,true,false,false,true,false,false,false,true
188,25,1.1875,14298592,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false,true
189,25,0.953125,11331282,true,false,true,false,false,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true
190,25,1.328125,15183353,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true
191,25,0.734375,8687509,false,true,true,false,false,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,false
192,25,0.65625,8237094,true,false,false,false,true,false,true,false,false,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,true
193,25,0.6875,7541729,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,true,true,false,true,false,false,true,true,true,false
194,25,1.328125,16402620,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
195,25,0.3125,3663923,false,true,true,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false
196,25,0.109375,1291721,true,false,false,false,true,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false
197,25,1.546875,16733955,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true
198,25,0.953125,10516584,true,true,true,true,true,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,true,true,true
199,25,0.078125,799103,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,true,true,true,true,true
200,25,0.09375,1202376,false,true,true,false,true,true,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,false,false,true,true
201,25,1.421875,16770269,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true
202,25,1.421875,16708072,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true
203,25,0.21875,2039587,false,true,true,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,false,true,false,false
204,25,1.453125,14423222,true,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false
205,25,0.265625,2841773,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,true,false,true,true
206,25,0.234375,2682223,true,true,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,true,false,false,true,true,true,false
207,25,1.4375,16538468,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
208,25,1.546875,16224782,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,true,true
209,25,1.375,16713632,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,true
210,25,0.140625,1934844,false,true,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,false,false,true,true
211,25,1.359375,16777200,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
212,25,0.109375,1074079,true,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true
213,25,0.0,143,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
214,25,1.625,16777216,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
