KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
115,20,0.015625,144148,false,true,true,true,true,false,true,true,true,false,true,false,false,false,true,true,false,true,false,true
116,20,0.015625,523951,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
117,20,0.0,2016,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,false,false,false
118,20,0.0,23,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false
119,20,0.0,23,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
120,20,0.03125,524288,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
121,20,0.0,821,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false
122,20,0.046875,462340,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false
123,20,0.03125,333339,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,true,true,true
124,20,0.0,31056,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true
125,20,0.0,24476,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,true,false
126,20,0.046875,513185,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true
127,20,0.015625,462637,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true
128,20,0.0,96095,true,false,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,false,false,true
129,20,0.046875,509764,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
130,20,0.0,5669,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,true
131,20,0.0625,508764,true,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
132,20,0.0,9694,true,true,false,false,true,true,false,true,true,false,false,false,true,false,false,true,false,false,false,false
133,20,0.0625,524288,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
134,20,0.046875,342836,false,true,false,true,false,false,true,true,true,false,true,true,true,false,true,false,true,false,false,true
135,20,0.0625,523807,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
