KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
90,32,70.21875,805335219,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,true
91,32,175.6875,2147483005,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
92,32,4.078125,48010557,true,true,false,false,false,false,true,true,false,true,false,true,false,false,true,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,false
93,32,169.140625,2035902889,true,true,true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
94,32,0.046875,584982,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false
95,32,0.0,251,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
96,32,175.5,2146039617,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true
97,32,1.0625,12402765,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false
98,32,178.828125,2130669697,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true
99,32,176.140625,2146540876,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true
100,32,96.953125,1141179718,true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,true
101,32,109.546875,1335860331,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true
102,32,1.6875,19577381,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false
103,32,169.3125,2010168800,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,false
104,32,2.453125,29655870,false,true,false,true,false,false,true,true,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,false,false,true,false,true,false,true,false,false
105,32,27.421875,331040485,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false
106,32,171.65625,2094785425,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true
107,32,0.03125,327915,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false
108,32,0.0,45,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
109,32,177.453125,2121431776,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,true
110,32,0.203125,2495508,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true
111,32,175.796875,2147483648,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
112,32,18.578125,220184738,true,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,false,false,false
113,32,0.015625,34113,true,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false
114,32,16.265625,184994516,false,true,false,true,false,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false
115,32,7.40625,69891120,false,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true
116,32,0.015625,117592,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false
117,32,183.046875,2147465039,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true
118,32,178.625,2147291855,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true
119,32,0.0,4,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
120,32,176.0625,2146010986,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
121,32,179.34375,2146411199,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true
122,32,0.0,47,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
123,32,127.375,1543314039,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true
124,32,0.0625,747250,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true
125,32,149.140625,1772801959,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,true,true,true,false,false,false
126,32,0.0,15,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
127,32,175.828125,2146449411,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true
128,32,176.046875,2108005141,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false
129,32,0.0,2448,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false
130,32,0.03125,269737,false,true,false,true,true,false,true,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false
131,32,177.40625,2146976863,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true
132,32,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
133,32,180.75,2147473952,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
134,32,29.765625,357800752,false,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,true,false,true,true
135,32,0.015625,198417,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false
136,32,0.0,5807,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true
137,32,80.109375,971216474,true,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false
138,32,123.515625,1462240375,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false
139,32,9.546875,112673711,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,true,false
140,32,175.578125,2144823656,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
141,32,178.0,2138823788,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true
142,32,176.1875,2147397829,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
143,32,100.171875,1177495233,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,false,true,true,true,true
144,32,115.84375,1402886247,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true
145,32,8.453125,100472171,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false
146,32,0.0,18065,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
147,32,25.578125,307113866,true,false,false,false,false,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false
148,32,179.34375,2127384398,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true
149,32,157.375,1910538301,true,false,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false
150,32,19.171875,230410470,true,true,true,true,true,true,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false
151,32,0.0,33258,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
152,32,178.796875,2137224475,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
153,32,32.125,383667485,true,true,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false
154,32,179.375,2147483648,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
155,32,51.0625,614468159,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,true,false
156,32,176.25,2147483648,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
