KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
169,22,0.203125,2096793,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true
170,22,0.078125,772563,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,true,false,true,true
171,22,0.0,26982,true,true,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,true,true,false,false
172,22,0.0,58276,false,false,true,false,true,true,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,true
173,22,0.125,1205459,true,true,false,false,true,true,false,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true
174,22,0.015625,117992,false,true,true,false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,false,true,true,false
175,22,0.1875,2095124,true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true
176,22,0.0,3930,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false
177,22,0.203125,2097152,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
178,22,0.234375,2081681,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
179,22,0.015625,129031,true,true,true,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,false
180,22,0.1875,2092739,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true
181,22,0.171875,1855220,true,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true
182,22,0.0,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
183,22,0.03125,270988,false,false,false,true,true,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,true,true
184,22,0.1875,1983764,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true
185,22,0.1875,1484858,false,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,true,true,true,true
186,22,0.25,2097152,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
187,22,0.015625,255089,false,false,true,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false
188,22,0.1875,2065849,true,false,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,false
189,22,0.1875,2097146,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
190,22,0.015625,21796,false,false,true,false,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,true
191,22,0.1875,2029211,true,false,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,false
192,22,0.21875,2097152,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
193,22,0.0,39,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
194,22,0.203125,2097145,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
195,22,0.0,2561,false,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false
196,22,0.140625,1821086,false,true,true,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,true,true
