KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
174,15,0.0,15018,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true
175,15,0.0,14603,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false
176,15,0.0,14434,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false
177,15,0.0,301,false,true,false,true,true,true,false,false,true,false,false,false,true,false,false
178,15,0.0,15981,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
179,15,0.0,427,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false
180,15,0.015625,13749,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true
181,15,0.0,345,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true
182,15,0.0,9391,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true
183,15,0.0,128,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false
184,15,0.0,13590,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true
185,15,0.0,2980,true,true,false,false,false,true,false,true,false,false,true,false,false,false,true
186,15,0.0,15699,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true
187,15,0.0,2054,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false
188,15,0.015625,16105,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true
189,15,0.0,16379,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
190,15,0.0,16384,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
191,15,0.0,11712,true,true,true,true,true,false,false,false,true,false,false,true,true,false,true
192,15,0.0,1307,false,false,false,true,true,false,false,false,true,false,true,true,true,false,true
193,15,0.0,11493,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true
194,15,0.0,16384,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
195,15,0.0,14092,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true
196,15,0.0,9061,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true
197,15,0.0,389,true,false,true,false,false,false,false,false,true,false,false,true,false,true,false
198,15,0.0,88,false,true,false,true,false,true,false,false,false,false,true,false,true,false,false
199,15,0.015625,14603,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true
200,15,0.0,16384,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
201,15,0.0,671,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false
202,15,0.0,1234,true,true,false,true,false,true,false,false,true,false,true,true,false,false,false
203,15,0.0,16368,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
204,15,0.0,16252,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true
205,15,0.0,12302,true,true,true,true,false,true,true,false,false,false,true,true,false,true,true
206,15,0.0,11731,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true
207,15,0.0,4242,true,true,true,true,true,true,false,false,false,true,false,false,false,false,true
208,15,0.0,10354,true,true,true,true,false,true,true,false,true,true,false,false,true,false,false
209,15,0.0,1039,true,true,false,true,true,true,true,false,false,true,false,true,false,false,false
210,15,0.0,24,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false
211,15,0.0,4144,false,true,true,true,false,false,true,false,true,true,false,false,false,true,false
212,15,0.0,3986,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true
213,15,0.0,4710,true,false,true,true,false,true,false,false,true,false,true,true,false,false,false
214,15,0.015625,16331,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true
215,15,0.0,6772,true,true,true,false,false,true,true,true,true,false,false,true,true,false,true
216,15,0.0,15495,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true
217,15,0.0,1683,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true
218,15,0.0,551,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false
219,15,0.0,13728,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true
220,15,0.0,15759,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true
221,15,0.0,16382,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
222,15,0.0,15155,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false
223,15,0.0,3169,true,false,true,false,false,true,true,true,false,true,false,true,true,true,false
224,15,0.0,12,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
225,15,0.0,16343,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true
226,15,0.0,16382,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true
227,15,0.015625,16264,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
228,15,0.0,3940,true,false,false,true,false,true,false,false,false,true,true,true,true,false,true
229,15,0.0,16334,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
230,15,0.0,6,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
231,15,0.0,5864,false,false,false,false,true,true,true,true,false,false,false,true,true,true,true
232,15,0.0,13790,false,true,true,false,false,false,true,true,false,true,true,true,true,true,true
233,15,0.0,16049,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true
234,15,0.0,15581,true,true,true,true,false,true,false,true,false,true,false,true,true,true,true
235,15,0.0,4716,true,true,false,false,true,false,false,false,false,true,true,false,true,true,true
236,15,0.0,16193,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
237,15,0.0,2,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
238,15,0.0,16379,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
239,15,0.0,3,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
240,15,0.0,5108,true,true,false,true,false,true,false,true,true,true,true,false,false,true,false
241,15,0.0,26,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
242,15,0.0,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
243,15,0.0,6979,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true
244,15,0.0,2621,false,false,true,false,true,false,true,false,false,true,true,true,true,true,false
245,15,0.0,16384,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
246,15,0.015625,14385,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true
247,15,0.0,4667,true,false,true,true,true,false,false,false,true,true,false,false,true,true,false
